시도,시군구,읍면동,총인구수,노인인구수,구별_노인인구수,구별_치과수,구별_지표,최종_유망_지수,경제력_지수,노인인구_점수,공급부족_점수,경제력_점수,Total_Score
경기도,남양주시,다산1동,105727,14305,138815.0,223.0,622.4887892376681,8904702.130044842,3192.46746590979,2.373265351836247,2.3850183196882604,2.5876949315725635,14.647081338961158
서울특별시,동작구,흑석동,29816,5719,75830.0,175.0,433.3142857142857,2478124.4,7477.053152676607,1.549018143806466,1.9641108952851845,4.7185279162180045,14.355854178908768
경기도,용인시,수지구,373960,59804,187079.0,370.0,505.6189189189189,30238033.827027027,0.0,6.741122761357213,2.124986469782514,1.0,14.324794659027017
서울특별시,성동구,옥수동,25146,4821,53513.0,124.0,431.5564516129032,2080533.6532258063,7986.567990828157,1.4628110633486577,1.9601997687308106,4.971922550535349,14.256500208195789
서울특별시,강남구,개포4동,22960,4077,95827.0,525.0,182.52761904761903,744165.1028571428,12639.974518596715,1.3913878251965313,1.4061183118488434,7.286179481131612,14.255088833534744
경기도,고양시,일산동구,297178,53392,198761.0,345.0,576.1188405797102,30760137.136231888,0.0,6.1255773271751774,2.281846616864621,1.0,13.977627900357307
서울특별시,양천구,목5동,40383,5858,84784.0,192.0,441.5833333333333,2586795.1666666665,7001.295365648397,1.5623620014719843,1.9825092707045735,4.481921518443609,13.882290947229102
서울특별시,강남구,개포3동,15545,3672,95827.0,525.0,182.52761904761903,670241.4171428571,12639.974518596715,1.3525082399121076,1.4061183118488434,7.286179481131612,13.856758524756767
서울특별시,마포구,아현동,28956,4087,61962.0,163.0,380.13496932515335,1553611.6196319018,8625.31909350356,1.3923478149566404,1.845788559685137,5.2895896525758435,13.594137858916321
경기도,고양시,일산서구,277646,51618,198761.0,345.0,576.1188405797102,29738102.313043483,0.0,5.9552751437318,2.281846616864621,1.0,13.589024439222378
서울특별시,마포구,공덕동,35875,6767,61962.0,163.0,380.13496932515335,2572373.337423313,6896.320863713035,1.6496250706659128,1.845788559685137,4.429715039772531,13.487858074860867
경기도,과천시,중앙동,11510,2452,12818.0,28.0,457.7857142857143,1122490.5714285714,8814.410434999134,1.235389489178782,2.018559067631997,5.38362956612316,13.425192879459992
경기도,안산시,상록구,322329,56112,103473.0,210.0,492.72857142857146,27647985.6,0.0,6.386694541924886,2.0963058449585024,1.0,13.388465098201703
서울특별시,양천구,목2동,27823,5210,84784.0,192.0,441.5833333333333,2300649.1666666665,7001.295365648397,1.5001546650169064,1.9825092707045735,4.481921518443609,13.329550709750245
서울특별시,동작구,상도제1동,43657,8415,75830.0,175.0,433.3142857142857,3646339.714285714,5492.194071609683,1.8078313831319133,1.9641108952851845,3.731407221474242,13.249411046069419
서울특별시,강동구,상일제1동,38966,5985,98481.0,246.0,400.3292682926829,2395970.670731707,6838.941439326288,1.5745538714253713,1.8907202508366245,4.40117879868372,13.102489251126869
경상남도,창원시,마산합포구,175634,48430,206776.0,351.0,589.105413105413,28530375.156695157,0.0,5.649230408208979,2.3107413394187186,1.0,13.05391024014977
서울특별시,양천구,신정4동,31021,7166,84784.0,192.0,441.5833333333333,3164386.1666666665,5787.7230821883195,1.687928662094271,1.9825092707045735,3.8783812837751834,12.978360011555642
서울특별시,용산구,서빙고동,12119,2388,40009.0,96.0,416.7604166666667,995223.875,8965.132554303655,1.229245554714083,1.9272790482076638,5.458587493635655,12.931935279056031
경기도,용인시,처인구,282534,52867,187079.0,370.0,505.6189189189189,26730555.38648649,0.0,6.075177864769443,2.124986469782514,1.0,12.90967076415729
서울특별시,은평구,녹번동,35126,8441,102800.0,194.0,529.8969072164948,4472859.793814433,4519.70469371102,1.8103273565081972,2.1790042434977632,3.2477636220373256,12.81148885911069
경기도,과천시,부림동,8866,1602,12818.0,28.0,457.7857142857143,733372.7142857143,9045.837278856969,1.153790359569498,2.018559067631997,5.498723997294821,12.806495155869941
경기도,과천시,별양동,12366,2105,12818.0,28.0,457.7857142857143,963638.9285714284,8563.77322028477,1.202077844502992,2.018559067631997,5.258981330952483,12.760734834764783
서울특별시,용산구,이촌제2동,7735,1922,40009.0,96.0,416.7604166666667,801013.5208333334,9159.272613267462,1.184510031892993,1.9272790482076638,5.555138262256939,12.681721629232726
경기도,과천시,원문동,16259,2335,12818.0,28.0,457.7857142857143,1068929.6428571427,8276.980607693144,1.2241576089855042,2.018559067631997,5.116352100651332,12.642682257230495
전북특별자치도,전주시,덕진구,308441,56380,124283.0,285.0,436.080701754386,24586229.96491228,0.0,6.412422267495813,1.9702660854856549,1.0,12.634178119460023
서울특별시,강남구,삼성2동,30321,4281,95827.0,525.0,182.52761904761903,781400.737142857,10784.440153626228,1.4109716163027595,1.4061183118488434,6.363375243318401,12.62489211208799
서울특별시,마포구,성산제2동,38075,7091,61962.0,163.0,380.13496932515335,2695537.0674846624,6164.608426059855,1.680728738893452,1.845788559685137,4.065815911265833,12.613258231759442
서울특별시,양천구,목3동,20668,4353,84784.0,192.0,441.5833333333333,1922212.25,7001.295365648397,1.4178835425755458,1.9825092707045735,4.481921518443609,12.59853468580059
서울특별시,강남구,수서동,13486,5442,95827.0,525.0,182.52761904761903,993315.3028571428,9801.314861117242,1.5224264274514405,1.4061183118488434,5.874442134152797,12.575486878798339
경기도,남양주시,별내동,82866,13620,138815.0,223.0,622.4887892376681,8478297.30941704,2549.7579092548845,2.307506053268765,2.3850183196882604,2.26805919010591,12.482137217357236
서울특별시,강남구,대치1동,23651,2968,95827.0,525.0,182.52761904761903,541741.9733333333,11831.065850744752,1.284924960800418,1.4061183118488434,6.883888712073555,12.437510791004495
서울특별시,강남구,도곡2동,32041,5786,95827.0,525.0,182.52761904761903,1056104.8038095236,9407.916365436175,1.555450075199198,1.4061183118488434,5.678795098012022,12.420358719007982
서울특별시,송파구,가락2동,28473,4845,119821.0,322.0,372.1149068322981,1802896.7236024844,7291.014417808061,1.4651150387729197,1.8279441684773012,4.626006141264602,12.389131367849062
서울특별시,강동구,고덕제2동,26231,4005,98481.0,246.0,400.3292682926829,1603318.719512195,7505.416571214905,1.384475898923745,1.8907202508366245,4.732633762663175,12.38841009361927
경기도,수원시,권선구,360806,59360,182342.0,481.0,379.0893970893971,22502746.61122661,0.0,6.698499216008362,1.8434621937712172,1.0,12.348430059717554
서울특별시,양천구,목1동,29950,4017,84784.0,192.0,441.5833333333333,1773840.25,7001.295365648397,1.3856278866358758,1.9825092707045735,4.481921518443609,12.31192863673748
서울특별시,양천구,목4동,23594,3955,84784.0,192.0,441.5833333333333,1746462.0833333333,7001.295365648397,1.3796759501231985,1.9825092707045735,4.481921518443609,12.259042996731788
전라남도,신안군,압해읍,6442,2332,16180.0,4.0,4045.0,9432940.0,0.0,1.2238696120574715,10.0,1.0,12.238696120574716
서울특별시,양천구,신정7동,27714,6134,84784.0,192.0,441.5833333333333,2708672.1666666665,5787.7230821883195,1.588857718850999,1.9825092707045735,3.8783812837751834,12.216610775956863
서울특별시,성북구,석관동,32727,8401,87657.0,151.0,580.5099337748344,4876863.953642384,3910.824764848563,1.8064873974677602,2.2916166635286794,2.9449522113294355,12.191444318816764
서울특별시,성북구,종암동,36744,7982,87657.0,151.0,580.5099337748344,4633630.291390728,4041.906894289114,1.7662638265191837,2.2916166635286794,3.0101426744288586,12.183852336251872
서울특별시,송파구,오금동,37031,8051,119821.0,322.0,372.1149068322981,2995897.114906832,5531.372387184177,1.7728877558639375,1.8279441684773012,3.750891590141863,12.15566379180006
서울특별시,송파구,장지동,30635,5809,119821.0,322.0,372.1149068322981,2161615.49378882,6545.919173301649,1.557658051647449,1.8279441684773012,4.255451403941846,12.116597643559093
서울특별시,강동구,암사제1동,32598,7509,98481.0,246.0,400.3292682926829,3006072.475609756,5470.976006576787,1.7208563108660175,1.8907202508366245,3.7208549403092066,12.106388981002246
서울특별시,송파구,가락1동,26963,4491,119821.0,322.0,372.1149068322981,1671168.0465838509,7291.014417808061,1.4311314012650531,1.8279441684773012,4.626006141264602,12.101762978132072
서울특별시,마포구,용강동,21083,3362,61962.0,163.0,380.13496932515335,1278013.7668711655,7953.1223245302945,1.3227485573487217,1.845788559685137,4.955289173553056,12.098408656842098
충청남도,천안시,동남구,262353,50803,101258.0,213.0,475.3896713615024,24151221.474178407,0.0,5.8770359782828985,2.0577273281220076,1.0,12.093337540868978
경상남도,창원시,마산회원구,176002,44060,206776.0,351.0,589.105413105413,25955984.5014245,0.0,5.229714883041248,2.3107413394187186,1.0,12.08451837361674
충청남도,천안시,서북구,401916,50455,101258.0,213.0,475.3896713615024,23985785.868544605,0.0,5.843628334631097,2.0577273281220076,1.0,12.024593719558505
경기도,부천시,소사구,225290,48289,156250.0,308.0,507.3051948051948,24497260.55194805,0.0,5.635694552591439,2.128738381519593,1.0,11.996919300622288
서울특별시,강동구,고덕제1동,23667,3537,98481.0,246.0,400.3292682926829,1415964.6219512194,7505.416571214905,1.339548378150633,1.8907202508366245,4.732633762663175,11.986394751741827
서울특별시,광진구,광장동,32947,4578,62627.0,154.0,406.6688311688312,1861729.9090909092,6772.21274800318,1.4394833121780035,1.9048255823286726,4.367992930343484,11.976882155660165
서울특별시,강남구,청담동,25694,4722,95827.0,525.0,182.52761904761903,861895.4171428571,9769.262001879537,1.4533071647235762,1.4061183118488434,5.858501435399392,11.971975498509797
서울특별시,은평구,진관동,53807,10289,102800.0,194.0,529.8969072164948,5452109.278350515,3523.8368422713984,1.9877334641763822,2.1790042434977632,2.7524933155641618,11.921818293775344
서울특별시,강남구,대치4동,17996,2326,95827.0,525.0,182.52761904761903,424559.2419047619,11831.065850744752,1.2232936182014058,1.4061183118488434,6.883888712073555,11.840946390728693
전라남도,신안군,지도읍,4780,1917,16180.0,4.0,4045.0,7754265.0,0.0,1.1840300370129384,10.0,1.0,11.840300370129384
서울특별시,용산구,한남동,13716,2737,40009.0,96.0,416.7604166666667,1140673.2604166667,7763.447690579274,1.262749197341895,1.9272790482076638,4.860959173893656,11.82997085872351
경기도,하남시,신장2동,44670,10485,54722.0,106.0,516.2452830188679,5412831.79245283,3452.05135145481,2.006549263474523,2.1486298015252934,2.7167925727540965,11.712993522119667
대구광역시,군위군,군위읍,7874,2845,11056.0,3.0,3685.3333333333335,10484773.333333334,0.0,1.2731170867510746,9.199752781211373,1.0,11.71236245964592
서울특별시,동작구,상도제4동,28749,6222,75830.0,175.0,433.3142857142857,2696081.4857142856,5492.194071609683,1.59730562873996,1.9641108952851845,3.731407221474242,11.706489354506267
서울특별시,성동구,행당제2동,22329,4462,53513.0,124.0,431.5564516129032,1925604.887096774,6379.0430107949305,1.4283474309607365,1.9601997687308106,4.172459661585377,11.68224576139664
서울특별시,강서구,화곡제1동,49446,10346,113717.0,247.0,460.3927125506073,4763223.004048583,3802.9060128735255,1.9932054058090047,2.024359558209015,2.891281482539855,11.666217894996848
서울특별시,송파구,방이2동,26204,4261,119821.0,322.0,372.1149068322981,1585581.6180124222,7087.293111502791,1.409051636782541,1.8279441684773012,4.524690375660695,11.654098955076831
경기도,안양시,동안구,329715,54166,105773.0,268.0,394.6753731343284,21377986.26119403,0.0,6.199880534607631,1.8781405088279248,1.0,11.644246781940323
경기도,안산시,단원구,289531,47361,103473.0,210.0,492.72857142857146,23336117.87142857,0.0,5.546607502853303,2.0963058449585024,1.0,11.627385727922062
서울특별시,서초구,서초3동,32000,5698,72511.0,312.0,232.40705128205127,1324255.3782051282,7948.020440555791,1.5470021653102366,1.5170985071788534,4.952751877428886,11.623884175791726
서울특별시,강남구,일원1동,14127,3795,95827.0,525.0,182.52761904761903,692692.3142857142,10150.871954333494,1.364316113961451,1.4061183118488434,6.0482857304058655,11.602970082073945
경상남도,창원시,의창구,207050,41703,206776.0,351.0,589.105413105413,24567463.04273504,0.0,5.003445296583503,2.3107413394187186,1.0,11.561667886335652
서울특별시,성북구,길음제1동,35458,5385,87657.0,151.0,580.5099337748344,3126045.993377483,4664.383404338523,1.516954485818818,2.2916166635286794,3.3197160093435745,11.540256318834833
서울특별시,동작구,사당제2동,27640,6475,75830.0,175.0,433.3142857142857,2805710.0,5244.153501318709,1.6215933696707236,1.9641108952851845,3.60805036334472,11.491601458682949
서울특별시,은평구,불광제1동,34153,8357,102800.0,194.0,529.8969072164948,4428348.453608247,3828.3870452745127,1.8022634425232797,2.1790042434977632,2.9039538453520954,11.404232401568441
전라남도,신안군,안좌면,3794,1459,16180.0,4.0,4045.0,5901655.0,0.0,1.140062505999936,10.0,1.0,11.40062505999936
전라남도,신안군,비금면,3709,1450,16180.0,4.0,4045.0,5865250.0,0.0,1.1391985152158377,10.0,1.0,11.391985152158377
충청북도,청주시,흥덕구,292310,42001,152209.0,269.0,565.8327137546469,23765539.810408924,0.0,5.032052991434758,2.258960302544332,1.0,11.36720794795057
서울특별시,광진구,구의제2동,24806,5282,62627.0,154.0,406.6688311688312,2148024.7662337665,5935.1980032422325,1.5070665912896928,1.9048255823286726,3.9517242973506206,11.344210978253411
서울특별시,마포구,염리동,16780,2321,61962.0,163.0,380.13496932515335,882293.2638036809,8016.544477670012,1.2228136233213514,1.845788559685137,4.986830616704663,11.25555295513238
서울특별시,강남구,삼성1동,12723,2671,95827.0,525.0,182.52761904761903,487531.2704761904,10784.440153626228,1.256413264925174,1.4061183118488434,6.363375243318401,11.24195677262507
서울특별시,강동구,길동,48125,10445,98481.0,246.0,400.3292682926829,4181439.207317073,3949.947802212437,2.0027093044340862,1.8907202508366245,2.9644090887427956,11.224921886226712
서울특별시,강동구,명일제1동,24666,4973,98481.0,246.0,400.3292682926829,1990837.451219512,6055.469438127637,1.4774029077023179,1.8907202508366245,4.011538328227862,11.205653038677264
서울특별시,동대문구,전농제1동,32172,6672,72976.0,168.0,434.3809523809524,2898189.7142857146,4969.963064936723,1.6405051679448752,1.9664841956560128,3.471688514468278,11.19976256930956
서울특별시,도봉구,창제2동,27503,6618,78667.0,107.0,735.2056074766355,4865590.710280374,3212.351483145201,1.6353212232402854,2.6358097570555548,2.5975837569783273,11.196613690579138
서울특별시,서대문구,북아현동,15108,2543,62264.0,130.0,478.9538461538461,1217979.630769231,6742.770754350471,1.244125395995776,2.0656575068936007,4.353350681175104,11.18783683174273
경기도,안양시,만안구,233633,51607,105773.0,268.0,394.6753731343284,20368011.981343288,0.0,5.9542191549956796,1.8781405088279248,1.0,11.182860193436563
서울특별시,광진구,구의제3동,27517,5053,62627.0,154.0,406.6688311688312,2054897.603896104,5935.1980032422325,1.4850828257831916,1.9048255823286726,3.9517242973506206,11.178731579105708
전라남도,신안군,임자면,3510,1215,16180.0,4.0,4045.0,4914675.0,0.0,1.1166387558532709,10.0,1.0,11.166387558532708
서울특별시,광진구,자양제3동,26640,5191,62627.0,154.0,406.6688311688312,2111017.9025974027,5828.359335727684,1.498330684472699,1.9048255823286726,3.8985907219202836,11.126806450179968
서울특별시,마포구,대흥동,14212,2102,61962.0,163.0,380.13496932515335,799043.7055214724,8053.47783618172,1.201789847574959,1.845788559685137,5.005198511363311,11.102781356579115
서울특별시,강남구,역삼1동,34118,4157,95827.0,525.0,182.52761904761903,758767.3123809523,9329.039979983234,1.399067743277405,1.4061183118488434,5.639567873696767,11.094466819101472
서울특별시,서대문구,남가좌제2동,28403,5537,62264.0,130.0,478.9538461538461,2651967.4461538456,5035.7603200324575,1.531546330172478,2.0656575068936007,3.5044111559806526,11.086730963652505
서울특별시,동작구,상도제3동,23389,5313,75830.0,175.0,433.3142857142857,2302198.8,5492.194071609683,1.5100425595460316,1.9641108952851845,3.731407221474242,11.06694725800335
서울특별시,강남구,역삼2동,36076,4114,95827.0,525.0,182.52761904761903,750918.6247619047,9329.039979983234,1.3949397873089353,1.4061183118488434,5.639567873696767,11.061732542478373
서울특별시,서대문구,북가좌제2동,29608,7439,62264.0,130.0,478.9538461538461,3562937.661538461,4252.348587286243,1.7141363825452527,2.0656575068936007,3.1148006585527077,11.028944376351637
서울특별시,은평구,응암제3동,22870,6463,102800.0,194.0,529.8969072164948,3424723.7113402057,4252.302386746602,1.6204413819585923,2.1790042434977632,3.1147776818541484,10.998120043402142
전라남도,신안군,자은면,2692,1036,16180.0,4.0,4045.0,4190620.0,0.0,1.0994549391473158,10.0,1.0,10.994549391473159
서울특별시,서초구,서초4동,29987,4815,72511.0,312.0,232.40705128205127,1119039.9519230768,7948.020440555791,1.462235069492592,1.5170985071788534,4.952751877428886,10.986960113371333
서울특별시,강남구,세곡동,45838,8274,95827.0,525.0,182.52761904761903,1510233.5199999998,6725.991868593977,1.794295527514373,1.4061183118488434,4.345006116302482,10.96241479415348
서울특별시,광진구,자양제2동,26398,4945,62627.0,154.0,406.6688311688312,2010977.3701298705,5828.359335727684,1.474714936374012,1.9048255823286726,3.8985907219202836,10.951432708593162
전라남도,신안군,도초면,2440,985,16180.0,4.0,4045.0,3984325.0,0.0,1.0945589913707587,10.0,1.0,10.945589913707588
서울특별시,동작구,대방동,33723,6114,75830.0,175.0,433.3142857142857,2649283.5428571426,5049.405389688686,1.5869377393307804,1.9641108952851845,3.511197194731395,10.94412674313763
서울특별시,구로구,신도림동,35667,5752,86351.0,171.0,504.9766081871345,2904625.4502923978,4649.322398467059,1.5521861100148264,2.123557348253204,3.312225789649294,10.91761363786341
대구광역시,군위군,효령면,3627,1937,11056.0,3.0,3685.3333333333335,7138490.666666667,0.0,1.185950016533157,9.199752781211373,1.0,10.910446962978584
전라남도,신안군,암태면,2125,934,16180.0,4.0,4045.0,3778030.0,0.0,1.0896630435942016,10.0,1.0,10.896630435942017
서울특별시,은평구,응암제1동,31976,6246,102800.0,194.0,529.8969072164948,3309736.0824742266,4252.302386746602,1.5996096041642223,2.1790042434977632,3.1147776818541484,10.85673239714058
서울특별시,송파구,송파1동,22892,4095,119821.0,322.0,372.1149068322981,1523810.5434782607,6558.737762908953,1.3931158067647278,1.8279441684773012,4.261826413230664,10.852902548394038
서울특별시,강서구,등촌제3동,28514,8286,113717.0,247.0,460.3927125506073,3814814.016194333,3982.734509481324,1.7954475152265044,2.024359558209015,2.9807147487094605,10.833799237418681
서울특별시,동작구,상도제2동,26839,4968,75830.0,175.0,433.3142857142857,2152705.371428571,5492.194071609683,1.4769229128222632,1.9641108952851845,3.731407221474242,10.824216759330621
충청북도,청주시,상당구,194463,39492,152209.0,269.0,565.8327137546469,22345865.53159852,0.0,4.7911915606233535,2.258960302544332,1.0,10.823111537333581
서울특별시,성북구,장위제1동,22713,4866,87657.0,151.0,580.5099337748344,2824761.337748344,4451.796490108003,1.4671310172691492,2.2916166635286794,3.21399115236488,10.80576571737587
인천광역시,옹진군,영흥면,6470,2211,7100.0,2.0,3550.0,7849050.0,0.0,1.2122537359601497,8.898640296662546,1.0,10.787409944594707
서울특별시,마포구,신수동,21905,3784,61962.0,163.0,380.13496932515335,1438430.7239263805,6578.616104759449,1.363260125225331,1.845788559685137,4.27171241612376,10.748866992148127
전라남도,신안군,흑산면,2137,759,16180.0,4.0,4045.0,3070155.0,0.0,1.0728632227922903,10.0,1.0,10.728632227922903
서울특별시,노원구,중계2.3동,31414,8548,105180.0,198.0,531.2121212121212,4540801.212121213,3408.1091655792543,1.820599246941366,2.181930553994831,2.694939010723526,10.705432652692057
전라남도,신안군,장산면,1624,724,16180.0,4.0,4045.0,2928580.0,0.0,1.069503258631908,10.0,1.0,10.69503258631908
서울특별시,동작구,사당제3동,23106,5299,75830.0,175.0,433.3142857142857,2296132.4,5244.153501318709,1.5086985738818786,1.9641108952851845,3.60805036334472,10.691559953685774
전라남도,신안군,하의면,1667,711,16180.0,4.0,4045.0,2875995.0,0.0,1.068255271943766,10.0,1.0,10.682552719437659
서울특별시,노원구,상계1동,35932,9066,105180.0,198.0,531.2121212121212,4815969.090909091,3247.7403820459112,1.870326716515024,2.181930553994831,2.615183552753405,10.672362732449532
서울특별시,은평구,불광제2동,26198,7145,102800.0,194.0,529.8969072164948,3786113.402061856,3828.3870452745127,1.6859126835980418,2.1790042434977632,2.9039538453520954,10.667996475357484
경상북도,봉화군,봉화읍,8857,3179,12892.0,4.0,3223.0,10245917.0,0.0,1.3051807447387227,8.171075401730532,1.0,10.664730278146912
서울특별시,강남구,도곡1동,20734,3467,95827.0,525.0,182.52761904761903,632823.2552380952,9407.916365436175,1.3328284498298686,1.4061183118488434,5.678795098012022,10.642712178123942
서울특별시,송파구,문정2동,28664,4722,119821.0,322.0,372.1149068322981,1757126.5900621116,6028.404632172548,1.4533071647235762,1.8279441684773012,3.9980783147123775,10.621152346410954
서울특별시,광진구,자양제4동,19842,4466,62627.0,154.0,406.6688311688312,1816183.0,5828.359335727684,1.4287314268647802,1.9048255823286726,3.8985907219202836,10.60995294347089
전라남도,신안군,증도면,1577,619,16180.0,4.0,4045.0,2503855.0,0.0,1.059423366150761,10.0,1.0,10.59423366150761
서울특별시,동작구,노량진제1동,32731,6683,75830.0,175.0,433.3142857142857,2895839.371428571,4589.464305214242,1.6415611566809956,1.9641108952851845,3.2824568437521386,10.583324117870797
충청북도,청주시,서원구,183007,38265,152209.0,269.0,565.8327137546469,21651588.79182156,0.0,4.673400817057951,2.258960302544332,1.0,10.557026923612158
경기도,수원시,장안구,270954,49234,182342.0,481.0,379.0893970893971,18664087.376299378,0.0,5.726413584921761,1.8434621937712172,1.0,10.55642694970117
서울특별시,도봉구,창제1동,23297,5610,78667.0,107.0,735.2056074766355,4124503.457943925,3212.351483145201,1.5385542554212757,2.6358097570555548,2.5975837569783273,10.534075749237347
서울특별시,동대문구,답십리제2동,27294,6561,72976.0,168.0,434.3809523809524,2849973.4285714286,4597.78579675986,1.6298492816076628,1.9664841956560128,3.286595332269621,10.533777480169222
경기도,의왕시,청계동,37550,7580,31308.0,52.0,602.0769230769231,4563743.076923077,3223.7027221100634,1.727672238162793,2.339602548255206,2.6032290156267015,10.522424459960137
경기도,성남시,수정구,233273,49390,171912.0,460.0,373.7217391304348,18458116.695652176,0.0,5.741389425179465,1.8315193206857634,1.0,10.515465659797119
서울특별시,송파구,석촌동,30017,5384,119821.0,322.0,372.1149068322981,2003466.658385093,5605.657182427173,1.516858486842807,1.8279441684773012,3.787835300347098,10.502654517026373
전라남도,신안군,신의면,1564,517,16180.0,4.0,4045.0,2091265.0,0.0,1.049631470597647,10.0,1.0,10.49631470597647
전라남도,신안군,팔금면,1003,505,16180.0,4.0,4045.0,2042725.0,0.0,1.048479482885516,10.0,1.0,10.48479482885516
서울특별시,송파구,방이1동,14898,2783,119821.0,322.0,372.1149068322981,1035595.7857142856,7087.293111502791,1.2671651502383976,1.8279441684773012,4.524690375660695,10.48057265454366
경상남도,창원시,진해구,184557,36692,206776.0,351.0,589.105413105413,21615455.81766381,0.0,4.52239442779277,2.3107413394187186,1.0,10.450083757457616
서울특별시,송파구,송파2동,19305,3552,119821.0,322.0,372.1149068322981,1321752.149068323,6558.737762908953,1.3409883627907968,1.8279441684773012,4.261826413230664,10.446809912879576
서울특별시,도봉구,창제5동,23279,5468,78667.0,107.0,735.2056074766355,4020104.2616822426,3212.351483145201,1.5249224008277245,2.6358097570555548,2.5975837569783273,10.44074203131023
서울특별시,도봉구,창제4동,25897,5430,78667.0,107.0,735.2056074766355,3992166.4485981306,3212.351483145201,1.5212744397393094,2.6358097570555548,2.5975837569783273,10.41576540256917
서울특별시,광진구,자양제1동,21493,4190,62627.0,154.0,406.6688311688312,1703942.402597403,5828.359335727684,1.4022357094857654,1.9048255823286726,3.8985907219202836,10.413192160227156
서울특별시,양천구,신정6동,23875,3634,84784.0,192.0,441.5833333333333,1604713.8333333333,5787.7230821883195,1.3488602788236925,1.9825092707045735,3.8783812837751834,10.371288015300905
