시도,시군구,구별_노인인구수,구별_치과수,구별_지표
울산광역시,울주군,46622,47,991.9574468085107
충청북도,충주시,53459,54,989.9814814814815
경기도,여주시,32515,33,985.3030303030303
충청남도,홍성군,28505,29,982.9310344827586
전라남도,영광군,17452,18,969.5555555555555
전북특별자치도,정읍시,33796,35,965.6
경기도,안성시,43838,46,953.0
경상남도,통영시,32145,34,945.4411764705883
세종특별자치시,전의면,1880,2,940.0
경상북도,칠곡군,23051,25,922.04
경기도,가평군,21067,23,915.9565217391304
충청북도,음성군,25579,28,913.5357142857143
부산광역시,서구,31758,35,907.3714285714286
경기도,양주시,55230,62,890.8064516129032
경기도,포천시,40021,45,889.3555555555556
충청북도,제천시,37295,42,887.9761904761905
세종특별자치시,부강면,1767,2,883.5
부산광역시,사상구,51878,59,879.2881355932203
경기도,동두천시,23718,27,878.4444444444445
강원특별자치도,강릉시,57203,66,866.7121212121212
전라남도,무안군,20501,24,854.2083333333334
전라남도,나주시,30286,36,841.2777777777778
경상남도,사천시,29411,35,840.3142857142857
강원특별자치도,화천군,6693,8,836.625
대구광역시,서구,47613,57,835.3157894736842
경기도,광주시,75342,93,810.1290322580645
세종특별자치시,보람동,1615,2,807.5
대구광역시,동구,85086,107,795.196261682243
세종특별자치시,금남면,3144,4,786.0
충청북도,진천군,17853,23,776.2173913043479
강원특별자치도,동해시,23029,30,767.6333333333333
전북특별자치도,군산시,62891,82,766.9634146341464
충청남도,서산시,40903,54,757.4629629629629
대전광역시,동구,53020,70,757.4285714285714
부산광역시,동구,26207,35,748.7714285714286
전북특별자치도,익산시,68648,92,746.1739130434783
부산광역시,강서구,23089,31,744.8064516129032
부산광역시,사하구,76876,104,739.1923076923077
서울특별시,도봉구,78667,107,735.2056074766355
제주특별자치도,서귀포시,43847,60,730.7833333333333
경기도,이천시,42183,58,727.2931034482758
경상북도,포항시,117657,162,726.2777777777778
강원특별자치도,춘천시,64682,90,718.6888888888889
경상남도,양산시,69520,97,716.7010309278351
대구광역시,남구,39200,55,712.7272727272727
충청북도,증평군,8502,12,708.5
부산광역시,기장군,36745,52,706.6346153846154
경상남도,거제시,39328,56,702.2857142857143
부산광역시,북구,67395,96,702.03125
대전광역시,대덕구,37746,54,699.0
대구광역시,달성군,46241,67,690.1641791044776
경상북도,경산시,58327,85,686.2
전라남도,목포시,46548,68,684.5294117647059
인천광역시,중구,29129,43,677.4186046511628
경상남도,진주시,74552,111,671.6396396396397
울산광역시,동구,29826,45,662.8
울산광역시,중구,44806,68,658.9117647058823
인천광역시,동구,16379,25,655.16
인천광역시,미추홀구,90154,138,653.2898550724638
강원특별자치도,원주시,74001,114,649.1315789473684
대전광역시,중구,55397,86,644.1511627906976
전라남도,광양시,27263,43,634.0232558139535
부산광역시,금정구,58866,93,632.9677419354839
경기도,파주시,91164,146,624.4109589041096
경기도,남양주시,138815,223,622.4887892376681
부산광역시,남구,64274,105,612.1333333333333
서울특별시,강북구,74483,122,610.516393442623
경기도,의왕시,31308,52,602.0769230769231
경상남도,김해시,87605,147,595.952380952381
세종특별자치시,소담동,1778,3,592.6666666666666
경상남도,창원시,206776,351,589.105413105413
강원특별자치도,속초시,20612,35,588.9142857142857
서울특별시,성북구,87657,151,580.5099337748344
경상북도,구미시,57792,100,577.92
경기도,고양시,198761,345,576.1188405797102
전라남도,순천시,57241,100,572.41
충청남도,아산시,57043,100,570.43
충청북도,청주시,152209,269,565.8327137546469
대구광역시,북구,83327,148,563.0202702702703
인천광역시,부평구,100341,181,554.3701657458563
경기도,의정부시,93707,171,547.9941520467836
충청남도,계룡시,7582,14,541.5714285714286
서울특별시,중랑구,88438,164,539.2560975609756
부산광역시,해운대구,88156,164,537.5365853658536
서울특별시,노원구,105180,198,531.2121212121212
부산광역시,연제구,51426,97,530.1649484536083
서울특별시,은평구,102800,194,529.8969072164948
인천광역시,계양구,56472,107,527.7757009345794
부산광역시,수영구,45816,87,526.6206896551724
경기도,김포시,82302,157,524.2165605095541
세종특별자치시,반곡동,1566,3,522.0
인천광역시,남동구,98908,190,520.5684210526316
경기도,하남시,54722,106,516.2452830188679
